SHEET:Guerreiro N1
1	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão
72	◐	DET-18	5. Detalhes	Registrar espaços de magia	Total, gastos e nível dos espaços são separados e seguem a característica que concedeu conjuração.	Cap. 2, p. 41; Caps. 3, 5 e 7	inicializarMagiasPersonagem() cria 2 espaços de 1º círculo.	Falta gasto, recuperação e persistência em jogo.
73	◐	DET-19	5. Detalhes	Selecionar truques e magias preparadas	Quantidade, lista permitida, nível, duplicatas e origem são validados; escolhas persistem.	Cap. 2, p. 41; Caps. 3, 5 e 7	Tela seleciona 3 truques e 4 magias preparadas da lista cadastrada.	A lista está incompleta e as magias não possuem efeitos completos.
74	☑	DET-20	5. Detalhes	Registrar nome	Nome é obrigatório para concluir, aparece na ficha e identifica o personagem sem ser usado como id técnico.	Cap. 2, p. 41	detalhesEstaoCompletos(); salvarPersonagemLocal()	Nome é obrigatório e id técnico é gerado separadamente.
75	☑	DET-21	5. Detalhes	Registrar aparência e avatar	Aparência textual, avatar e frame podem ser escolhidos, visualizados, salvos e usados como token.	Cap. 2, pp. 38 e 41	Modal de avatar; renderizador-ficha.js: preencherAvatar(); aventuras.js	Avatar e frame têm prévia, persistem e são reutilizados como token.
76	☑	DET-22	5. Detalhes	Registrar história e personalidade	Campos narrativos aceitam texto, preservam parágrafos e não exigem linguagem marcada por gênero.	Cap. 2, pp. 38-41	personagem.detalhes.historia e personalidade; revisão e PDF	Campos narrativos são opcionais e persistidos.
77	N/A	DET-23	5. Detalhes	Registrar detalhes finais opcionais	Gênero, vínculos, medo e objetivo podem ser registrados sem bloquear a criação quando omitidos.	Cap. 2, p. 41	Detalhes narrativos adicionais não fazem parte do recorte atual.	Não bloqueiam a criação.
78	◐	REG-01	Regras transversais	Estruturar toda regra como dado	Classe, espécie, antecedente, talento, habilidade, arma, maestria e magia possuem id, origem e dados mecânicos consultáveis.	Caps. 3-7	Bancos separados com ids; banco-efeitos.js e motor-efeitos.js	A arquitetura existe, mas várias entradas ainda são apenas descritivas ou não rastreiam origem.
79	◐	REG-02	Regras transversais	Implementar efeitos passivos	Bônus permanentes entram nos cálculos corretos, não exigem botão e não são aplicados duas vezes.	Caps. 3-7	Cálculos de proficiência, CA, ataques e estilos de luta	Alguns passivos funcionam; traços de espécie, talentos e magias ainda não.
80	◐	REG-03	Regras transversais	Implementar efeitos ativáveis	A opção só aparece quando legal e informa custo, alvo, alcance, efeito, duração, usos e recarga.	Caps. 3-7	banco-efeitos.js; interface-combate.js; Segundo Fôlego	Há ação ativável piloto, mas o contrato ainda não cobre todas as capacidades.
81	◐	REG-04	Regras transversais	Implementar economia de ações	Movimento, ação, ação bônus, reação e ação livre são consumidos e restaurados no momento correto.	Caps. 1 e 3-7	combate.js: movimentoRestante, acaoDisponivel, acaoBonusDisponivel	Movimento, ação e ação bônus funcionam; reação e ação livre ainda não estão completas.
82	◐	REG-05	Regras transversais	Implementar gatilhos	Efeitos que ocorrem ao acertar, causar dano, falhar, sofrer dano, iniciar ou terminar turno usam eventos genéricos.	Caps. 3-7	motor-efeitos.js: buscarEfeitosPorGatilho(), prepararEfeitosPorGatilho()	Gatilhos genéricos começaram com dano; falta cobrir todos os eventos necessários.
83	◐	REG-06	Regras transversais	Implementar alvos e alcance	Próprio, aliado, inimigo, objeto, ponto e áreas respeitam alcance, linha de efeito e estados válidos.	Caps. 3-7	combate.js: validarSelecaoAcao(), calcularDistancia(); grid em aventuras.js	Próprio e inimigo/alcance funcionam; aliados, objetos, pontos, linha e áreas ainda não.
84	☑	REG-07	Regras transversais	Implementar rolagens	Ataque, dano, cura, teste e salvaguarda aceitam múltiplos dados, modificadores, vantagem, desvantagem e rerrolagens.	Caps. 1 e 3-7	dados.js; testes.js; combate.js	Motor aceita grupos de dados, modificador, vantagem, desvantagem e rerrolagem.
85	◐	REG-08	Regras transversais	Implementar duração e encerramento	Efeitos por turno, rodada, minuto, descanso, concentração ou condição terminam exatamente no gatilho previsto.	Caps. 3-7	Recargas por turno e descanso modeladas em motor-efeitos.js	Não existe controlador geral de duração por rodada/minuto/concentração.
86	☐	REG-09	Regras transversais	Implementar concentração	Apenas um efeito de concentração permanece, dano solicita teste e perder concentração encerra o efeito.	Cap. 7	Não há controlador de concentração.	Implementar início, substituição, teste ao sofrer dano e encerramento.
87	☐	REG-10	Regras transversais	Implementar condições necessárias	Toda condição exigida por uma opção do MVP possui aplicação, efeitos, duração, remoção, ficha e narrativa.	Glossário de regras	Não existe banco/motor geral de condições.	Criar apenas as condições exigidas pelas opções do MVP.
88	◐	REG-11	Regras transversais	Resolver empilhamento e precedência	Bônus, fórmulas alternativas, resistências e efeitos iguais seguem regras explícitas de acumulação.	Caps. 1 e 3-7	Cálculos atuais evitam algumas duplicações e aplicam fórmulas específicas.	Falta política geral de empilhamento, resistência e precedência.
89	◐	REG-12	Regras transversais	Rastrear origem de capacidades	Magias e efeitos distinguem classe, espécie, antecedente, talento, item e outra origem para aplicar o atributo e recarga corretos.	Caps. 3-7	origem existe em banco-efeitos.js e listas separadas no personagem	A origem ainda não acompanha consistentemente magias e todas as capacidades.
90	☑	INT-01	Integração	Atualizar a ficha durante a criação	Cada confirmação atualiza somente as seções afetadas; cancelar restaura o estado anterior.	Fluxo do Cap. 2	renderizador-ficha.js; atualizarFichaPersonagem(); estados temporários das modais	A ficha compartilhada atualiza por seção e as prévias podem ser canceladas.
91	◐	INT-02	Integração	Bloquear conclusão incompleta	A criação informa todos os campos e escolhas pendentes e não salva um personagem mecanicamente inválido.	Fluxo do Cap. 2	podeAvancarDoPassoAtual(), detalhesEstaoCompletos(), magiasEstaoEscolhidas()	Há bloqueios por etapa, mas opções incompletas ainda podem ser ofertadas e o salvamento não valida o contrato inteiro.
92	◐	INT-03	Integração	Salvar formato canônico	O localStorage recebe uma cópia completa e versionada, sem referências DOM, valores apenas visuais ou campos derivados conflitantes.	Aplicação	salvarPersonagemLocal() usa structuredClone e localStorage	O objeto é completo, mas não possui schemaVersion nem migração.
93	☑	INT-04	Integração	Reabrir personagem sem perda	A ficha salva reproduz exatamente escolhas, números, recursos, avatar, equipamento, talentos, habilidades e magias.	Aplicação	ver-personagem.js; meus-personagens.js; renderizador-ficha.js	Personagens salvos são encontrados por id e renderizados pela ficha compartilhada.
94	◐	INT-05	Integração	Gerar PDF consistente	Campos aplicáveis do PDF recebem os mesmos valores da ficha; ausências são deliberadas e documentadas.	Ficha das pp. 34-35	ver-personagem.js: baixarPdfFichaEditavel() e funções preencher*Pdf	A exportação cobre muitos campos; ainda há lacunas de regras e dados não implementados.
95	◐	INT-06	Integração	Converter para participante de combate	A conversão preserva id, nome, representação, PV, CA, movimento, ataques, recursos, efeitos, talentos, habilidades e magias.	Aplicação	aventuras.js: criarParticipanteJogadorCombate()	PV, CA, ataques, avatar, talentos e habilidades chegam ao combate; movimento e capacidades incompletas ainda divergem.
96	◐	INT-07	Integração	Não duplicar fontes de verdade	Ficha, participante e PDF são projeções do personagem canônico; nenhuma página mantém uma regra concorrente.	Aplicação	ficha-personagem.html + renderizador-ficha.js centralizam a apresentação	Ainda há cálculos repetidos entre criação, visualização/PDF e combate.
97	☐	INT-08	Integração	Persistir consumo de recursos	Gastos de PV, Dados de Vida, espaços, usos e efeitos relevantes retornam ao personagem salvo quando a aventura permitir.	Aplicação	O combate altera a cópia em estadoAtualJogo e não grava os recursos no personagem salvo.	Criar sincronização deliberada ao fim/pausa da aventura.
98	◐	INT-09	Integração	Exibir ações legais no combate	A interface mostra apenas opções disponíveis; opções indisponíveis explicam alcance, recurso ou economia de ação faltante.	Aplicação	interface-combate.js e aventuras.js renderizam ações e indisponibilidade por alcance	Ataques e Segundo Fôlego funcionam; faltam todas as ações e explicações do MVP.
99	◐	INT-10	Integração	Manter explicações acessíveis	Habilidades, talentos, traços, propriedades, maestrias e magias abrem uma explicação consistente em todas as instâncias da ficha.	Aplicação	Modal de detalhe e renderizador-ficha.js	Habilidades, talentos e maestrias têm explicações em algumas páginas, mas não de forma uniforme para espécies, propriedades e magias.
100	◐	QA-01	Critérios finais	Testar caminho feliz completo	Uma criação do início ao fim salva, reabre, exporta e entra em combate sem erro no console.	Teste do produto	Fluxos manuais já exercitados: criação, ficha, aventura, iniciativa, ataques, dano e fim de combate.	Falta repetir com cada classe completa e sem opções provisórias.
101	◐	QA-02	Critérios finais	Testar retorno e cancelamento	Voltar etapas e cancelar todas as modais preserva o estado confirmado e remove apenas prévias.	Teste do produto	Modais de classe, antecedente e avatar mantêm estados temporários.	Falta uma matriz de testes para todas as etapas e cancelamentos.
102	◐	QA-03	Critérios finais	Testar troca de escolhas	Trocar classe, antecedente, espécie, atributos, equipamento e capacidades não deixa dados órfãos.	Teste do produto	Há limpeza de escolhas ao trocar etapas e classe.	Falta testar todas as combinações e dados órfãos.
103	◐	QA-04	Critérios finais	Testar limites numéricos	São verificados mínimo, máximo, zero usos, bônus negativos, limite 20, alcance exato e insuficiente.	Teste do produto	Validações de quantidade, duplicatas, alcance e recursos existem em pontos específicos.	Faltam casos-limite sistemáticos e limite 20 explícito.
104	☐	QA-05	Critérios finais	Testar cada opção ofertada	Cada item visível nos seletores possui ao menos um teste de criação e um teste mecânico quando produz efeito.	Teste do produto	Não existe cobertura por opção ofertada.	Criar roteiro de teste para cada opção antes de marcá-la completa.
105	☐	QA-06	Critérios finais	Testar combinações representativas	Combinações de classe, antecedente, espécie, talento e equipamento cobrem interações e possíveis conflitos.	Teste do produto	Não existe matriz de combinações representativas.	Definir combinações mínimas por classe, antecedente, espécie e equipamento.
106	◐	QA-07	Critérios finais	Testar recursos e recargas	Cada recurso é consumido, bloqueado, recarregado e persistido nos momentos corretos.	Teste do produto	Segundo Fôlego e Atacante Selvagem foram testados manualmente.	Faltam descanso, persistência e todos os demais recursos.
107	◐	QA-08	Critérios finais	Testar ações e efeitos	Ação, ação bônus, reação, movimento, alvo, alcance, duração, condição e concentração são exercitados quando aplicáveis.	Teste do produto	Movimento, ação, ação bônus, alvo e alcance foram exercitados.	Faltam reação, concentração, duração e condições.
108	◐	QA-09	Critérios finais	Testar ficha nas três instâncias	Criação, Ver personagem e Aventura/combate exibem a mesma informação e o mesmo comportamento explicativo.	Teste do produto	Ficha compartilhada funciona na criação, Ver personagem e Aventura.	Falta paridade completa das explicações e teste de todas as seções.
109	◐	QA-10	Critérios finais	Validar HTML e JavaScript	Validação HTML e checagem de sintaxe passam; não há erros, referências indefinidas ou recursos 404 no console.	Qualidade técnica	node --check passou nos 34 arquivos JavaScript; HTML foi validado anteriormente.	Ainda falta um teste de navegador sem erros, referências indefinidas ou 404.
110	◐	QA-11	Critérios finais	Revisar texto neutro	Textos criativos evitam marcação desnecessária de gênero e mantêm terminologia consistente.	Diretriz do produto	Há intenção editorial de texto neutro e vários textos já seguem a diretriz.	Persistem erros de revisão e termos/textos que precisam de uma rodada editorial completa.
111	☑	QA-12	Critérios finais	Exigir evidência antes do check	Um item só recebe ☑ quando banco, interface, regra, persistência e teste aplicáveis estiverem comprovados.	Governança da checklist	Esta auditoria só marcou conclusão com evidência de banco, interface, regra e persistência aplicáveis.	Manter o mesmo padrão nas próximas atualizações.
112								
113								
114								
